ID	institucion	acreditacion	carrera	area	desercionagno1	duracion	empleabilidadagno1	ingresoagno4	arancel	IE_MAT	tipo_institucion	CLASIFICACION_INSTITUCION_NIVEL_0	CLASIFICACION_INSTITUCION_NIVEL_1	CLASIFICACION_INSTITUCION_NIVEL_3
1402	IP de Arte y Comunicación ARCOS	2 años	Técnico de Nivel Superior en Fotografía Periodística y Publicitaria	Arte y Arquitectura	0,46078431372549	6,7	0,482758620689655	s/i	1510919	IP DE ARTE Y COMUNICACION ARCOS	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1403	IP Los Leones	4 años	Fotografía Periodística y Publicitaria	Arte y Arquitectura	0,413793103448276	6,5	0,365384615384615	Menor a $400 mil	999837	IP LOS LEONES	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1404	IP de Chile	4 años	Técnico en Gastronomía	Administración y Comercio	0,47378640776699	7,4	0,572327044025157	s/i	1120390	IP DE CHILE	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1406	IP Duoc UC	7 años	Gastronomía	Administración y Comercio	0,298449612403101	8,5	0,338461538461538	s/i	1315246	IP DUOC UC	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL	INSTITUTO PROFESIONAL
1407	CFT Diego Portales	No	Gastronomía y Cocina Internacional	Administración y Comercio	0,525773195876289	8,7	0,521850899742931	Menor a $400 mil	1123755	CFT DIEGO PORTALES	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1408	CFT DUOC UC	6 años	Gastronomía	Administración y Comercio	0,315625	7,7	0,581005586592179	Menor a $400 mil	1630000	CFT DUOC UC	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1409	CFT ICEL	No	Cocina Nacional e Internacional	Administración y Comercio	0,656583629893238	6,4	0,55421686746988	s/i	859000	CFT ICEL	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
141	Universidad Técnica Federico Santa María	5 años	Construcción Civil	Tecnología	0,25	19,7	0,956043956043956	De $1 millón a $1 millón 200 mil	2850000	UNIVERSIDAD TECNICA FEDERICO SANTA MARIA	UNIVERSIDAD PARTICULAR CON APORTE	UNIVERSIDAD	UNIVERSIDAD CRUCH	UNIVERSIDADES PARTICULARES CON APORTE
1410	CFT INACAP	6 años	Gastronomía Internacional	Administración y Comercio	0,359892569382274	7,6	0,439140811455847	Menor a $400 mil	1634850	CFT INACAP	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1412	CFT Juan Bohon	No	Gastronomía y Cocina Internacional	Administración y Comercio	0,423728813559322	6,2	0,269230769230769	s/i	979000	CFT JUAN BOHON	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1413	CFT Santo Tomás	4 años	Cocina Internacional y Tradicional Chilena	Administración y Comercio	0,315500685871056	7,2	0,399650959860384	Menor a $400 mil	1260771	CFT SANTO TOMAS	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1414	CFT INACAP	6 años	Gestión y Control de Calidad	Administración y Comercio	0,384615384615385	6,2	0,808219178082192	De $400 mil a $600 mil	1121583	CFT INACAP	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
1417	CFT Lota-Arauco	4 años	Técnico de Nivel Superior en Industrias de la Madera	Tecnología	0,53448275862069	8,5	0,590909090909091	s/i	1037841	CFT LOTA-ARAUCO	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA	CENTRO DE FORMACIÓN TÉCNICA
