agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_basica	ive_media	numero_alumnos
2011	20137	COLEGIO INNOV-ARTE	TEMUCO	9	Particular Subvencionado	URBANO	770768927	534	526	40	45.3061224489	916
2011	20139	LICEO TECNOLOGICO MONTEMARIA	PUCÓN	9	Particular Subvencionado	URBANO	336398910	411	413		86.5853658536	362
2011	20153	ESCUELA PARTICULAR PUCON NEVADOS	PUCÓN	9	Particular Subvencionado	RURAL	186859823	568	584	34.4086021505	38.7096774193	279
2011	20159	LICEO PARTICULAR JAN COMENIUS	TEMUCO	9	Particular Subvencionado	RURAL	705606122	514	537	47.794117647	57.3938506588	817
2011	20162	ESCUELA PART. REINO DE SUECIA	VICTORIA	9	Particular Subvencionado	URBANO	175650403	402	342	87.5		275
2011	20164	LICEO AGRICOLA SAN SEBASTIAN	PERQUENCO	9	Particular Subvencionado	RURAL	311845785	342	388	94.44444444440001	90.909090909	183
2011	20167	COLEGIO LIAHONA	PUCÓN	9	Particular Subvencionado	URBANO	346482800	516	508	56.0185185185	55.376344086	451
2011	20173	LICEO HUMANISTA CIENTIFICO BRAINSTORM	TEMUCO	9	Particular Subvencionado	URBANO	403159121	525	513	50	48	532
2011	20175	LICEO JUAN PABLO II	GALVARINO	9	Particular Subvencionado	URBANO	284921289	390	403	100	95.238095238	277
2011	20181	COLEGIO SAINT PATRICK SCHOOL	TEMUCO	9	Particular Subvencionado	URBANO	332829851	543	543	30.0947867298	32.8767123287	573
2011	20183	LICEO COEDUCACIONAL INTERCULTURAL PABLO NERU	SAAVEDRA	9	Particular Subvencionado	RURAL	111114257	401	394	93.75	92.156862745	69
2011	20184	LICEO SAN SEBASTIAN	PADRE LAS CASAS	9	Particular Subvencionado	URBANO	120968139	419	459		81.1688311688	138
2011	20190	LICEO TECNICO PROFESIONAL PUERTO SAAVEDRA	SAAVEDRA	9	Particular Subvencionado	URBANO	385775292	403	363		95.76923076920001	210
2011	20193	COMPLEJO EDUCACIONAL MAQUEHUE	PADRE LAS CASAS	9	Particular Subvencionado	RURAL	49943395	379	378		96.1538461538	40
2011	20209	COLEGIO RAITRAI DE PUCON	PUCÓN	9	Particular Subvencionado	URBANO	106606600	557	557	48.4536082474	44.4444444444	168
2011	20215	ESCUELA PARTICULAR SAN LEONARDO	ERCILLA	9	Particular Subvencionado	RURAL	170545747	372	355	92.62295081960001		212
2011	20230	LICEO PARTICULAR SAN ROQUE	TEMUCO	9	Particular Subvencionado	URBANO	67820093	372	360		85	38
2011	20248	LICEO MUNICIPAL TROVOLHUE	CARAHUE	9	Municipal	URBANO	123148002	416	450		95.89041095890001	137
2011	22004	LICEO TECNICO PROFESIONAL REMEHUE	OSORNO	10	Particular Subvencionado	RURAL	347575962	408	421		86.5470852017	211
2011	22007	COLEGIO ARTISTICO SANTA CECILIA	OSORNO	10	Particular Subvencionado	URBANO	384958358	520	512	70.0879765395	78.0219780219	519
2011	22012	LICEO PUNTA DE RIELES	LOS MUERMOS	10	Municipal	URBANO	374996603	409	422		92.3595505617	356
2011	22021	LICEO LAS AMERICAS	PUYEHUE	10	Municipal	URBANO	304216764	436	440		74.1602067183	327
2011	22022	LICEO IGNACIO CARRERA PINTO	FRUTILLAR	10	Municipal	URBANO	444286066	460	469		86.518771331	626
2011	22024	LICEO AGRICOLA RADIO 24	PAILLACO	14	Particular Subvencionado	RURAL	386733332	342	353		94.8717948717	215
2011	22027	LICEO HORNOPIREN	HUALAIHUÉ	10	Municipal	URBANO	498997969	484	466		71.96969696959999	387
2011	22050	LICEO BENJAMIN MUNOZ GAMERO	PUERTO OCTAY	10	Municipal	URBANO	278735368	438	443		86.01398601389999	281
2011	22062	LICEO AGRICOLA SAN JAVIER	LA UNIÓN	14	Particular Subvencionado	RURAL	453979190	406	402		90.5303030303	227
2011	22065	COLEGIO SAN FRANCISCO DE ASIS	CASTRO	10	Particular Subvencionado	URBANO	877482496	489	484	30.867709815	42.1052631578	928
2011	22080	LICEO COMERCIAL LEONARDO DA VINCI	OSORNO	10	Particular Subvencionado	URBANO	156820660	461	410		82.8282828282	167
2011	22081	LIC. AGR. Y FORESTAL PEOPLE HELP PEOPLE	PANGUIPULLI	14	Particular Subvencionado	RURAL	515317589	437	406		90.31007751929999	309
2011	22084	LICEO POLITECNICO ANTULAFQUEN	SAN JUAN DE LA COSTA	10	Municipal	RURAL	97864421	416	414		100	93
2011	22086	COLEGIO LAS QUEMAS	PUERTO MONTT	10	Municipal	RURAL	263188438	408	411	84.0909090909	84.1379310344	321
2011	22097	LICEO AGROPECUARIO Y FORESTAL LIPINGUE	LOS LAGOS	14	Particular Subvencionado	RURAL	360529181	390	384		86.1003861003	248
2011	22108	LICEO TECNICO MONSENOR FCO VALDES S.	OSORNO	10	Particular Subvencionado	URBANO	42343727	333	345		98.6486486486	61
2011	22113	LICEO FRAY PABLO DE ROYO	SAN PABLO	10	Municipal	URBANO	366018027	456	450		85.8333333333	316
2011	22114	LICEO FRAY LUIS LEON	OSORNO	10	Particular Subvencionado	URBANO	242132319	363	390		93.220338983	377
2011	22140	LICEO IND.ING.RICARDO FENNER R.	LA UNIÓN	14	Particular Subvencionado	RURAL	1504176052	414	433		82.5892857142	1083
