agno	rbd	nombre_establecimiento	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento	psu_lenguaje	psu_matematica	ive_media
2011	14215	LICEO AGRICOLA CHRISTA MOCK	NOGALES	5	Particular Subvencionado	RURAL	255866266	395	380	86.1878453038
2011	14216	LICEO AGRICOLA DE LONGOTOMA	LA LIGUA	5	Particular Subvencionado	RURAL	167867665	364	381	79.6610169491
2011	14232	COLEGIO BORDEMAR	VALPARAÍSO	5	Particular Subvencionado	URBANO	526270741	392	373	83.2
2011	14237	COL.NUESTRA SRA.DE LAS MERCEDES	QUILPUÉ	5	Particular Subvencionado	URBANO	406869942	416	412	83.0508474576
2011	14265	ESCUELA  SAINT BENEDICT COLLEGE	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	198227576	540	552	40.366972477
2011	14270	COLEGIO GOBERNADOR CONCHA Y SALVATIERRA	QUILLOTA	5	Particular Subvencionado	URBANO	268689817	514	544	55.8823529411
2011	14281	LICEO OBISPO ANTONIO CASTRO	VALPARAÍSO	5	Particular Subvencionado	URBANO	107958874	424	443	69.16666666659999
2011	14284	LICEO RENE DESCARTES	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	236134922	505	508	49.8461538461
2011	14288	COLEGIO NUEVA PROVIDENCIA	SAN ANTONIO	5	Particular Subvencionado	URBANO	329700771	570	590	50.3597122302
2011	14299	COLEGIO ADVENTISTA ANEXO	QUILPUÉ	5	Particular Subvencionado	URBANO	354519214	505	497	52.8875379939
2011	14307	COLEGIO LATINO AMERICANO	LIMACHE	5	Particular Subvencionado	URBANO	79007876	385	399	86.0869565217
2011	14313	COLEGIO NUEVA ESPERANZA	VILLA ALEMANA	5	Particular Subvencionado	URBANO	334619546	541	549	48.322147651
2011	14314	COLEGIO THOMAS ALVA EDISON	QUILPUÉ	5	Particular Subvencionado	URBANO	226411512	565	542	42.5196850393
2011	14315	COLEGIO VICTOR ANTONIO	VALPARAÍSO	5	Particular Subvencionado	URBANO	133222446	477	482	54
2011	14316	COLEGIO EMANUEL	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	139023036	505	503	44.2857142857
2011	14332	COLEGIO PEHUEN	CABILDO	5	Particular Subvencionado	URBANO	153330240	599	595	29.0909090909
2011	14336	LICEO TECN. PROF. OBISPO RAFAEL LIRA INFANTE	QUILPUÉ	5	Particular Subvencionado	URBANO	185419304	378	412	76.5567765567
2011	14348	COLEGIO ESPIRITU SANTO	SAN ANTONIO	5	Particular Subvencionado	URBANO	779733588	513	480	52.036199095
2011	14359	COLEGIO LOS REYES	QUILPUÉ	5	Particular Subvencionado	URBANO	834853430	577	588	41.0423452768
2011	14363	COLEGIO HISPANO	VILLA ALEMANA	5	Particular Subvencionado	URBANO	874585531	516	538	53.4591194968
2011	14365	COLEGIO CHARLES DICKENS	QUILPUÉ	5	Particular Subvencionado	URBANO	224590828	443	457	71.264367816
2011	14373	COLEGIO JOSE LUIS NORRIS	SAN ANTONIO	5	Particular Subvencionado	URBANO	276596274	496	479	54.491017964
2011	14387	COLEGIO SAN NICOLAS EL OLIVAR	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	398666160	481	441	56.3909774436
2011	14397	COLEGIO CRISTIANO DE QUILLOTA	QUILLOTA	5	Particular Subvencionado	URBANO	342895630	435	421	78.9855072463
2011	14400	LICE TEC.CARLOS ALESSANDRI ALTAMIRANO	ALGARROBO	5	Municipal	URBANO	341472133	405	396	72.74725274719999
2011	14413	ESCUELA SANTA CLARA	VALPARAÍSO	5	Particular Subvencionado	URBANO	294595382	500	488	55.7522123893
2011	14416	COLEGIO DOMINGO ORTIZ DE ROZAS	LA LIGUA	5	Particular Subvencionado	URBANO	643215477	593	578	55.2699228791
2011	14418	COLEGIO PANAL  ANEXO	QUILPUÉ	5	Particular Subvencionado	URBANO	179238789	456	425	73.3944954128
2011	14420	COLEGIO EL ALBA	EL QUISCO	5	Particular Subvencionado	URBANO	161242820	487	503	52.0833333333
2011	14470	LICEO TECNICO FEMENINO DE QUILPUE	QUILPUÉ	5	Municipal	URBANO	254026040	429	409	78.2716049382
2011	14487	COLEGIO MAESE DA VINCI	LA LIGUA	5	Particular Subvencionado	URBANO	223697266	482	477	71.9387755102
2011	14490	COLEGIO MANANTIAL	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	582352230	462	491	51.7543859649
2011	14494	COLEGIO EVANGELICO LABRANZA DE DIOS	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	133625752	534	564	50.5263157894
2011	14504	COLEGIO CRISTIANO CON-CON	CONCÓN	5	Particular Subvencionado	URBANO	208541455	481	450	62.2222222222
2011	14506	COLEGIO APUMANQUE	LA CALERA	5	Particular Subvencionado	URBANO	596918210	610	603	43.9834024896
2011	14510	COLEGIO NACIONAL	LIMACHE	5	Particular Subvencionado	URBANO	440332811	567	593	44.9541284403
2011	14511	COLEGIO SANTA BARBARA DE LA REINA	CASABLANCA	5	Particular Subvencionado	URBANO	219117933	454	493	56.3106796116
2011	14514	COLEGIO EL ARRAYAN	CASABLANCA	5	Particular Subvencionado	URBANO	529046590	530	543	38.2075471698
2011	14523	LIONS SCHOOL	CARTAGENA	5	Particular Subvencionado	URBANO	764323065	476	483	59.9358974358
2011	14527	"KING EDWARD'S SCHOOL 2"	QUILPUÉ	5	Particular Subvencionado	URBANO	119536450	461	449	62.7450980392
2011	14534	COLEGIO AMANCAY LIMACHE	LIMACHE	5	Particular Subvencionado	URBANO	212092843	464	473	55.3719008264
2011	14537	COLEGIO ADONAY PUKALAN	LA LIGUA	5	Particular Subvencionado	URBANO	239843724	423	457	65.19607843129999
2011	14538	COL.SANTO DOMINGO DE GUZMAN	VALPARAÍSO	5	Particular Subvencionado	URBANO	388253139	550	568	41.0256410256
2011	14541	COLEGIO PATRICIO LYNCH	VALPARAÍSO	5	Particular Subvencionado	URBANO	278872378	567	571	47.8260869565
2011	14552	COLEGIO SAN NICOLAS DE CANAL CHACAO	QUILPUÉ	5	Particular Subvencionado	URBANO	435618627	406	444	66.9064748201
2011	14563	THE INTEGRITY COLLEGE	VIÑA DEL MAR	5	Particular Subvencionado	URBANO	246754824	491	493	63.354037267
2011	14565	VERDOYHAM SCHOOL	LLAILLAY	5	Particular Subvencionado	URBANO	258097387	494	476	54.2372881355
