agno	rbd	nombre_comuna	numero_region	dependencia	area_geografica	financiamiento
2011	340	ANTOFAGASTA	2	Particular Subvencionado	URBANO	270625488
2011	341	ANTOFAGASTA	2	Particular Subvencionado	URBANO	538507661
2011	342	ANTOFAGASTA	2	Particular Subvencionado	URBANO	1058108513
2011	343	ANTOFAGASTA	2	Particular Subvencionado	URBANO	398201859
2011	344	ANTOFAGASTA	2	Particular Subvencionado	URBANO	779100979
2011	350	ANTOFAGASTA	2	Particular Subvencionado	URBANO	356975579
2011	356	ANTOFAGASTA	2	Particular Subvencionado	URBANO	667793110
2011	365	ANTOFAGASTA	2	Particular Subvencionado	URBANO	579517773
2011	367	MEJILLONES	2	Municipal	URBANO	577252782
2011	368	MEJILLONES	2	Municipal	URBANO	715673375
2011	369	MEJILLONES	2	Municipal	RURAL	27450702
2011	370	SIERRA GORDA	2	Municipal	URBANO	117786107
2011	371	SIERRA GORDA	2	Municipal	RURAL	71504026
2011	372	TALTAL	2	Municipal	URBANO	341219339
2011	373	TALTAL	2	Municipal	URBANO	320364152
2011	374	TALTAL	2	Municipal	URBANO	532264571
2011	375	TALTAL	2	Municipal	URBANO	627152203
2011	377	TALTAL	2	Municipal	RURAL	82161340
2011	379	CHAÑARAL	3	Municipal	URBANO	564120060
2011	380	CHAÑARAL	3	Municipal	URBANO	224154355
2011	381	CHAÑARAL	3	Municipal	URBANO	149982083
2011	382	CHAÑARAL	3	Municipal	URBANO	205539040
2011	383	CHAÑARAL	3	Municipal	URBANO	125623157
2011	384	DIEGO DE ALMAGRO	3	Municipal	URBANO	719836051
2011	386	DIEGO DE ALMAGRO	3	Municipal	URBANO	642992617
2011	387	DIEGO DE ALMAGRO	3	Municipal	RURAL	59626879
2011	389	DIEGO DE ALMAGRO	3	Particular Subvencionado	URBANO	34729723
2011	390	DIEGO DE ALMAGRO	3	Particular Subvencionado	URBANO	442214997
2011	391	DIEGO DE ALMAGRO	3	Particular Subvencionado	URBANO	516789241
2011	392	DIEGO DE ALMAGRO	3	Particular Subvencionado	URBANO	527414320
2011	396	COPIAPÓ	3	Municipal	URBANO	717439587
2011	397	COPIAPÓ	3	Municipal	URBANO	93523420
2011	399	COPIAPÓ	3	Municipal	URBANO	1050786849
2011	400	COPIAPÓ	3	Municipal	URBANO	445202257
2011	401	COPIAPÓ	3	Municipal	URBANO	703249090
2011	402	COPIAPÓ	3	Municipal	URBANO	24191631
2011	403	COPIAPÓ	3	Municipal	URBANO	539788301
2011	404	COPIAPÓ	3	Municipal	URBANO	223513784
2011	405	COPIAPÓ	3	Municipal	URBANO	513559711
2011	406	COPIAPÓ	3	Municipal	URBANO	486187230
2011	407	COPIAPÓ	3	Municipal	URBANO	448656978
2011	408	COPIAPÓ	3	Municipal	URBANO	834841933
2011	410	COPIAPÓ	3	Municipal	URBANO	501319434
2011	411	COPIAPÓ	3	Municipal	URBANO	498592471
2011	413	COPIAPÓ	3	Municipal	URBANO	258964661
2011	415	COPIAPÓ	3	Municipal	URBANO	879174510
2011	416	COPIAPÓ	3	Municipal	URBANO	521236876
2011	417	COPIAPÓ	3	Municipal	URBANO	667684205
2011	418	COPIAPÓ	3	Municipal	URBANO	627678246
2011	419	COPIAPÓ	3	Municipal	URBANO	828024544
2011	420	COPIAPÓ	3	Municipal	URBANO	304851372
2011	421	COPIAPÓ	3	Municipal	URBANO	675180629
2011	423	COPIAPÓ	3	Municipal	RURAL	183415605
2011	427	COPIAPÓ	3	Municipal	URBANO	396905121
2011	429	COPIAPÓ	3	Particular Subvencionado	URBANO	1274504742
2011	430	COPIAPÓ	3	Particular Subvencionado	URBANO	1025878902
2011	431	COPIAPÓ	3	Particular Subvencionado	URBANO	642191216
2011	433	COPIAPÓ	3	Particular Subvencionado	URBANO	637374590
2011	434	COPIAPÓ	3	Particular Subvencionado	URBANO	712530076
2011	437	COPIAPÓ	3	Particular Subvencionado	URBANO	1009519109
2011	438	CALDERA	3	Municipal	URBANO	297139954
2011	439	COPIAPÓ	3	Municipal	RURAL	22894381
2011	440	CALDERA	3	Particular Subvencionado	URBANO	1033650825
2011	441	TIERRA AMARILLA	3	Municipal	RURAL	269347629
2011	442	TIERRA AMARILLA	3	Municipal	URBANO	334196947
2011	444	TIERRA AMARILLA	3	Municipal	URBANO	413935436
2011	445	TIERRA AMARILLA	3	Municipal	RURAL	62181154
2011	446	TIERRA AMARILLA	3	Municipal	RURAL	53338271
2011	447	TIERRA AMARILLA	3	Municipal	RURAL	28550939
2011	448	VALLENAR	3	Municipal	URBANO	740360722
2011	449	VALLENAR	3	Municipal	URBANO	929645716
2011	450	VALLENAR	3	Municipal	URBANO	283011285
2011	452	VALLENAR	3	Municipal	URBANO	350794557
2011	453	VALLENAR	3	Municipal	URBANO	669493184
2011	454	VALLENAR	3	Municipal	URBANO	822028885
2011	455	VALLENAR	3	Municipal	URBANO	257650578
2011	456	VALLENAR	3	Municipal	URBANO	139618977
2011	458	VALLENAR	3	Municipal	URBANO	385272373
2011	459	VALLENAR	3	Municipal	URBANO	540011112
2011	461	VALLENAR	3	Municipal	URBANO	273346133
2011	462	VALLENAR	3	Municipal	URBANO	199180012
2011	463	VALLENAR	3	Municipal	RURAL	170770241
2011	464	VALLENAR	3	Municipal	URBANO	551289880
2011	466	VALLENAR	3	Municipal	RURAL	27317981
2011	467	VALLENAR	3	Municipal	RURAL	19871970
2011	468	VALLENAR	3	Municipal	RURAL	33296686
2011	469	VALLENAR	3	Municipal	RURAL	92634296
2011	471	VALLENAR	3	Municipal	RURAL	49577044
2011	475	VALLENAR	3	Municipal	RURAL	2938607
2011	476	VALLENAR	3	Municipal	RURAL	66939955
2011	478	VALLENAR	3	Particular Subvencionado	URBANO	1049078153
2011	479	VALLENAR	3	Particular Subvencionado	URBANO	704051787
2011	481	FREIRINA	3	Municipal	URBANO	336852210
2011	482	FREIRINA	3	Municipal	RURAL	42820667
2011	483	FREIRINA	3	Municipal	RURAL	53553576
2011	484	FREIRINA	3	Municipal	RURAL	50816946
2011	485	VALLENAR	3	Municipal	RURAL	21166442
2011	486	HUASCO	3	Municipal	URBANO	431816909
2011	487	HUASCO	3	Municipal	URBANO	254265622
2011	489	HUASCO	3	Municipal	RURAL	222517525
2011	490	HUASCO	3	Municipal	RURAL	38686137
2011	492	HUASCO	3	Particular Subvencionado	URBANO	211068545
2011	493	ALTO DEL CARMEN	3	Municipal	RURAL	211442664
2011	495	ALTO DEL CARMEN	3	Municipal	RURAL	18472810
2011	496	ALTO DEL CARMEN	3	Municipal	RURAL	34597383
2011	497	ALTO DEL CARMEN	3	Municipal	RURAL	25963535
2011	498	ALTO DEL CARMEN	3	Municipal	RURAL	23326433
2011	499	ALTO DEL CARMEN	3	Municipal	URBANO	199420062
2011	500	ALTO DEL CARMEN	3	Municipal	RURAL	28630989
2011	502	ALTO DEL CARMEN	3	Municipal	RURAL	25969040
2011	503	ALTO DEL CARMEN	3	Municipal	RURAL	23444774
2011	504	ALTO DEL CARMEN	3	Municipal	RURAL	25547714
2011	506	ALTO DEL CARMEN	3	Municipal	RURAL	5903843
